NotionSection,NotionURL,RepoPath,Notes
"Build Progress Log & Workflow State",https://www.notion.so/2bd45ee1ec5a800da672f7dac3000966,N/A,"Referenced in audit files only"
"Section 1 — Navigation & Page Index",https://www.notion.so/eba3cfdc44fd49ef98c38b183642cc7b,packages/web/src/config/nav.ts,"Defines main navigation structure"
"Section 1 — Navigation & Page Index",https://www.notion.so/eba3cfdc44fd49ef98c38b183642cc7b,packages/web/src/pages/HomePage.tsx,"AOSS Hub implementation stub"
"Section 1 — Navigation & Page Index",https://www.notion.so/eba3cfdc44fd49ef98c38b183642cc7b,packages/web/src/pages/ProductsPage.tsx,"Products list stub"
"Section 1 — Navigation & Page Index",https://www.notion.so/eba3cfdc44fd49ef98c38b183642cc7b,packages/web/src/pages/AttributesPage.tsx,"Attribute Registry stub"
"Section 1 — Navigation & Page Index",https://www.notion.so/eba3cfdc44fd49ef98c38b183642cc7b,packages/web/src/pages/SmartRulesPage.tsx,"Smart Rules Console stub"
"Section 7 — Frontend & Launch Calendar",https://www.notion.so/2b845ee1ec5a811d8d47ef14b3d0f46c,packages/web/src/pages/LaunchCalendarPage.tsx,"Launch Calendar stub"
"Section 7 — Frontend & Launch Calendar",https://www.notion.so/2b845ee1ec5a811d8d47ef14b3d0f46c,packages/web/src/config/nav.ts,"Nav config based on Section 7"
"Product Completion Workflows",https://www.notion.so/2ba45ee1ec5a80698690f9492961ed8b,packages/web/src/pages/ProductEditorPage.tsx,"Product Editor shell with workflow references"
"Product Completion Workflows",https://www.notion.so/2ba45ee1ec5a80698690f9492961ed8b,packages/web/src/pages/ObservationsPage.tsx,"Observations page stub"
"Workflow W1 — Observations Capture & Apply",https://www.notion.so/2b845ee1ec5a81b5a4a6d3ea439ec277,packages/web/src/pages/ProductEditorPage.tsx,"Observations panel in Product Editor (line 105)"
"Workflow W1 — Observations Capture & Apply",https://www.notion.so/2b845ee1ec5a81b5a4a6d3ea439ec277,packages/web/src/pages/ObservationsPage.tsx,"Main Observations page TODO references W1"
"Workflow W2 — Full Product Completion",https://www.notion.so/2ba45ee1ec5a809cbc1fd8daebc3f147,packages/web/src/pages/ProductEditorPage.tsx,"Export Readiness panel (line 150+)"
"Observations — Overview",https://www.notion.so/2b845ee1ec5a81e1aeeae43318b38039,packages/web/src/pages/ObservationsPage.tsx,"TODO references Observations Overview"
"Observations — Overview",https://www.notion.so/2b845ee1ec5a81e1aeeae43318b38039,packages/web/src/pages/ProductEditorPage.tsx,"Observations panel references overview doc"
"Admin UI Build Spec — Settings CRUD",https://www.notion.so/2b845ee1ec5a81e58df8f9633b2e0e2b,packages/web/src/pages/SettingsPage.tsx,"Settings Hub with 9 cards"
"Admin UI Build Spec — Settings CRUD",https://www.notion.so/2b845ee1ec5a81e58df8f9633b2e0e2b,packages/web/src/pages/settings/SettingsSubPage.tsx,"Generic settings sub-page component"
"Admin UI Build Spec — Settings CRUD",https://www.notion.so/2b845ee1ec5a81e58df8f9633b2e0e2b,packages/web/src/config/nav.ts,"settingsNavConfig array defines 9 settings sections"
