attribute_id,sources,display_name,where_appears,required?,data_type_and_validation,allowed_values_synonyms,notes_dependencies_migration_steps
sku,import|edit,"SKU","SKU|attributes.sku|Overview",Y,"text | required_for_completion","","Primary SKU / item id. | status:active"
style_id,edit,"Style ID","Style ID|attributes.style_id|Overview",N,"text","","status:active"
mpn,edit,"MPN","MPN|attributes.mpn|Overview",Y,"text | required_for_completion","","Manufacturer part number | status:active"
gtin,edit,"GTIN/UPC","GTIN|attributes.gtin|identifiers",N,"text","","Global Trade Item Number. Required for many export channels | status:active"
name,edit,"Product Name","Name|attributes.name|Overview",Y,"text | required_for_completion","","status:active"
slug,edit,"URL Slug","URL Slug|attributes.slug|Overview",N,"text","","Required for web export | status:active"
brand,edit,"Brand","Brand|attributes.brand|Overview",Y,"text | required_for_completion","","status:active"
category,import|edit,"Category","Category|attributes.category|Details",Y,"select (allowed: Footwear;Apparel;Accessories;Athletic;Casual;Dress;Boots;Sandals;Sneakers;Slippers) | required_for_completion","Footwear;Apparel;Accessories;Athletic;Casual;Dress;Boots;Sandals;Sneakers;Slippers","status:active"
class,edit,"Class","Class|attributes.class|Details",Y,"select (allowed: Athletic;Casual;Formal;Outdoor;Performance;Fashion;Comfort;Work;Sport) | required_for_completion","Athletic;Casual;Formal;Outdoor;Performance;Fashion;Comfort;Work;Sport","status:active"
department,import|edit,"Department","Department|attributes.department|Details",Y,"select (allowed: Mens;Womens;Kids;Unisex;Boys;Girls) | required_for_completion","Mens;Womens;Kids;Unisex;Boys;Girls","status:active"
website,edit,"Websites (Multi-select)","Websites|attributes.website|Overview",Y,"multiSelect (allowed: shiekh.com;Karmaloop.com;mltd.com;sangremia.com;plndr.com;fbrkclothing.com;Vnds.com;Kazbah.com;Tiltedsole.com;NOT FOR WEB) | required_for_completion","shiekh.com;Karmaloop.com;mltd.com;sangremia.com;plndr.com;fbrkclothing.com;Vnds.com;Kazbah.com;Tiltedsole.com;NOT FOR WEB","Drives site-specific descriptions & AI | status:active"
product_is_active,edit|internal,"Product Is Active","Product Is Active|attributes.product_is_active|Overview",Y,"boolean | required_for_completion","","Internal only | status:active"
status,edit,"Status","Status|attributes.status|Overview",N,"text","","status:active"
launch_date,edit,"Launch Date","Launch Date|attributes.launch_date|Lifecycle",N,"date","","status:active"
kl_post_date,edit,"KL Post Date","KL Post Date|attributes.kl_post_date|Lifecycle",N,"date","","status:active"
family_sizing,edit,"Family Sizing","Family Sizing|attributes.family_sizing|Lifecycle",N,"text","","status:active"
hype,edit,"HYPE","HYPE|attributes.hype|Lifecycle",N,"boolean","","status:active"
first_received,edit,"First Received","First Received|attributes.first_received|Lifecycle",N,"date","","status:active"
last_received,edit,"Last Received","Last Received|attributes.last_received|Lifecycle",N,"date","","status:active"
height,edit,"Height","Height|attributes.height|Measurements",N,"number","","For shipping/ops only | status:active"
length,edit,"Length","Length|attributes.length|Measurements",N,"number","","status:active"
width,edit,"Width","Width|attributes.width|Measurements",N,"number","","Package / dimension width (kept for shipping) | status:active"
shoe_width,edit,"Shoe Width","Shoe Width|attributes.shoe_width|Measurements",N,"select (allowed: Narrow;Standard;Wide;Extra Wide)","Narrow;Standard;Wide;Extra Wide","Shoe width / fit width for footwear. Added to avoid collision with package 'width'. | status:active"
weight,edit,"Weight (oz)","Weight|attributes.weight|Measurements",N,"number","","Product weight in ounces. Used for shipping calculations. | status:active"
gender,import|edit,"Gender","Gender|attributes.gender|Details",Y,"select (allowed: Men's;Women's;Unisex;Boys;Girls;Kids) | required_for_completion","Men's;Women's;Unisex;Boys;Girls;Kids | synonyms:sex;target_gender","Primary demographic for product targeting. Used in product descriptions and filtering. | status:active"
age_group,edit,"Age Group","Age Group|attributes.age_group|Details",Y,"select (allowed: Adult;Grade-School;Infant;Kids;Pre-School;Toddler) | required_for_completion","Adult;Grade-School;Infant;Kids;Pre-School;Toddler | synonyms:ageGroup;age-group","Used for Google Shopping feed and age-appropriate product descriptions. | status:active"
primary_color,import|edit,"Primary Color","Primary Color|attributes.primary_color|Visuals",Y,"select (allowed: Beige;Black;Blue;Bronze;Brown;Clear;Cream;Cyan;Floral;Gold;Gray;Green;Grey;Metallic;Multi Color;Navy;None;Off-White;Orange;Pink;Print;Purple;Red;Silver;Transparent;Turquoise;Wheat;White;Yellow) | required_for_completion","Beige;Black;Blue;Bronze;Brown;Clear;Cream;Cyan;Floral;Gold;Gray;Green;Grey;Metallic;Multi Color;Navy;None;Off-White;Orange;Pink;Print;Purple;Red;Silver;Transparent;Turquoise;Wheat;White;Yellow | synonyms:color;main_color;colour","Primary visible color for search and filtering. Use standardized color names. | status:active"
descriptive_color,edit,"Descriptive Color","Descriptive Color|attributes.descriptive_color|Visuals",Y,"text | required_for_completion","synonyms:descriptiveColor","Used for copy & AI (more descriptive color phrasing than primary_color). | status:active"
material,import|edit,"Material(s)","Material|attributes.material|Materials",Y,"multiSelect (allowed: Acrylic;Canvas;Cotton;Cotton-Blend;Cotton-Rich;Crocodile;Dacron;Denim;Down;Egyptian-Cotton;Fabric;Fabric-And-Leather;Faux-Fur;Fleece;Fur;Gore-Tex;Kevlar;Kidskin;Lambskin;Leather;Linen;Linen-Blend;Lizard;Lurex;Lycra;Lycra Blend;Mercerized-Cotton;Mesh;Merino-Wool;Microfiber;Microsuede;Mohair;Nappa-Leather;Neoprene;Nubuck;Nylon;Ostrich;Patent-Leather;Pima-Cotton;Plain Weave;Plastic;Pleather;Polartec-Fleece;Poly-Cotton;Poly-Rayon;Polyester;Polyester-Blend;Polypropylene;Polyurethane;Pony) | required_for_completion","Acrylic;Canvas;Cotton;Cotton-Blend;Cotton-Rich;Crocodile;Dacron;Denim;Down;Egyptian-Cotton;Fabric;Fabric-And-Leather;Faux-Fur;Fleece;Fur;Gore-Tex;Kevlar;Kidskin;Lambskin;Leather;Linen;Linen-Blend;Lizard;Lurex;Lycra;Lycra Blend;Mercerized-Cotton;Mesh;Merino-Wool;Microfiber;Microsuede;Mohair;Nappa-Leather;Neoprene;Nubuck;Nylon;Ostrich;Patent-Leather;Pima-Cotton;Plain Weave;Plastic;Pleather;Polartec-Fleece;Poly-Cotton;Poly-Rayon;Polyester;Polyester-Blend;Polypropylene;Polyurethane;Pony;Rayon;Rayon-Blend;Rubber;Satin;Sequin;Shearling;Sheepskin;Sherpa;Shetland;Silk;Silk-Blend;Snakeskin;Spandex;Straw;Suede;Synthetic;Tencel;Thinsulate;Ultrasuede;Urethane;Velcro;Velvet;Vinyl;Viscose;Viscose-Rayon;Watersnake;Wool;Wool-Blend;Worsted-Wool | synonyms:upper_material;fabric","Primary material for the product. Important for product descriptions and care instructions. | status:active"
outsole_material,edit,"Outsole Material","Outsole Material|attributes.outsole_material|Materials",N,"select (allowed: Cork;Crepe;Fabric;Latex;Leather;Leather-and-Rubber;Lug-sole;Manmade;Rubber;Suede;Vibram;Wood)","Cork;Crepe;Fabric;Latex;Leather;Leather-and-Rubber;Lug-sole;Manmade;Rubber;Suede;Vibram;Wood","Optional; used when outsole differs from upper. | status:active"
closure_type,edit,"Closure Type","Closure|attributes.closure_type|Materials",N,"select (allowed: Buckle;Bungee;Button;Clasp;Clip;D-ring;Drawstring;Elastic;Flap;Hook-and-eye;Hook-and-loop;Kiss-lock;Lace-up;Lobster-claw;Magnet;No-closure;Pull-on;Self-tie;Slip-on;Snap;Toggle;Turn-lock;Velcro;Zip;Zipper;wrap around)","Buckle;Bungee;Button;Clasp;Clip;D-ring;Drawstring;Elastic;Flap;Hook-and-eye;Hook-and-loop;Kiss-lock;Lace-up;Lobster-claw;Magnet;No-closure;Pull-on;Self-tie;Slip-on;Snap;Toggle;Turn-lock;Velcro;Zip;Zipper;wrap around | synonyms:closure;fastening","status:active"
cut_type,edit,"Cut Type","Cut Type|attributes.cut_type|Materials",N,"select (allowed: Low;Mid;High)","Low;Mid;High","status:active"
fit,edit,"Fit","Fit|attributes.fit|Materials",Y,"select (allowed: Runs A Half Size Big;Runs A Half Size Small;Runs One Size Big;Runs One Size Small;True To Size) | required_for_completion","Runs A Half Size Big;Runs A Half Size Small;Runs One Size Big;Runs One Size Small;True To Size","Drives copy and Smart Rules | status:active"
heel_height,edit,"Heel Height","Heel Height|attributes.heel_height|Materials",N,"select (allowed: 1-2";2-3";3-4";5"+)","1-2";2-3";3-4";5"+","status:active"
platform_height,edit,"Platform Height","Platform Height|attributes.platform_height|Materials",N,"select (allowed: Flat;Low 0-1";Medium 1-2';High 2-3";Ultra High 3-4")","Flat;Low 0-1";Medium 1-2';High 2-3";Ultra High 3-4"","status:active"
heel_type,edit,"Heel Type","Heel Type|attributes.heel_type|Materials",N,"select (allowed: Block Heel;Cone Heel;Flat;Kitten Heel;Stiletto;Wedge Heel;Platform)","Block Heel;Cone Heel;Flat;Kitten Heel;Stiletto;Wedge Heel;Platform","status:active"
shoe_height_map,edit,"Shoe Height Map","Shoe Height Map|attributes.shoe_height_map|Materials",N,"select (allowed: above-the-knee;ankle-high;high-top;knee-high;low-top;mid-calf;mid-top;thigh-high)","above-the-knee;ankle-high;high-top;knee-high;low-top;mid-calf;mid-top;thigh-high","status:active"
made_in,edit,"Made In","Made In|attributes.made_in|compliance",N,"text","synonyms:country_of_origin","Country where the product was manufactured. Required for some export channels. | status:active"
league,edit,"League","League|attributes.league|sport_league",N,"select (allowed: MLB;NBA;NCAA;NFL;NHL)","MLB;NBA;NCAA;NFL;NHL","status:active"
sports_team,edit,"Sports Team","Sports Team|attributes.sports_team|sport_league",N,"text","","Required when league is major | status:active"
collection_name,edit,"Collection Name","Collection Name|attributes.collection_name|product_flags",N,"text","","Optional launch flag | status:active"
fast_fashion,edit,"Fast Fashion","Fast Fashion|attributes.fast_fashion|product_flags",N,"boolean","","status:active"
tax_class,edit,"Tax Class","Tax Class|attributes.tax_class|product_flags",N,"select (allowed: Taxable Goods;None)","Taxable Goods;None","Required for export; default Taxable Goods | status:active"
description_shiekh,edit,"Description – Shiekh.com","Description Shiekh|attributes.description_shiekh|descriptions_sites",N,"longText","","Required if website includes shiekh.com | status:active"
description_karmaloop,edit,"Description – Karmaloop","Description Karmaloop|attributes.description_karmaloop|descriptions_sites",N,"longText","","Required if website includes Karmaloop | status:active"
description_mltd,edit,"Description – MLTD","Description MLTD|attributes.description_mltd|descriptions_sites",N,"longText","","status:active"
description_sangremia,edit,"Description – Sangremia","Description Sangremia|attributes.description_sangremia|descriptions_sites",N,"longText","","status:active"
meta_name,edit,"Meta Name","Meta Name|attributes.meta_name|seo",N,"text","","status:active"
meta_description,edit,"Meta Description","Meta Description|attributes.meta_description|seo",N,"longText","","status:active"
keywords,edit,"Keywords","Keywords|attributes.keywords|seo",N,"multiSelect (allowed: )","","SEO keywords used for export | status:active"
rics_long_desc,edit,"RICS Long Description","RICS Long Description|attributes.rics_long_desc|rics_reference",N,"longText","","status:active"
rics_short_description,edit,"RICS Short Description","RICS Short Description|attributes.rics_short_description|rics_reference",N,"text","","status:active"
media_status,edit,"Media Status","Media Status|attributes.media_status|launch_media",N,"text","","Tracks image readiness | status:active"
hide_image_date,edit,"Hide Image Date","Hide Image Date|attributes.hide_image_date|launch_media",N,"date","","status:active"
map,edit,"MAP","MAP|attributes.map|launch_media_pricing",N,"money","","status:active"
scom_regular_price,edit,"SCOM Regular Price","SCOM Regular Price|attributes.scom_regular_price|launch_media_pricing",N,"money","","status:active"
scom_sale_price,edit,"SCOM Sale Price","SCOM Sale Price|attributes.scom_sale_price|launch_media_pricing",N,"money","","status:active"
