branch_name,delete_candidate,classification,reason,last_activity_days,last_commit_date,last_commit_author,last_commit_sha,protection_status,protection_error,recommendation
ATTR/LP-ATTR-1.3.1/delete-clear-selection,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,c2ac336a68e281cfaa8d625c0032452be87b0663,not_protected,,Review for deletion - stale branch with no recent activity
LP-deploy-authority-model-001,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,c553422ce1d820c3227608cd134fdbf0dd4ba027,not_protected,,Review for deletion - stale branch with no recent activity
LP-smart-rules-svs-1.0.0,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,336c19bbbf79ad01baa37c22383c7d64ab537f1a,not_protected,,Review for deletion - stale branch with no recent activity
LP-smart-rules-whitelist-1.0.0,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,0910bce9d8f48a4a12d2cdfcde924803f3badb13,not_protected,,Review for deletion - stale branch with no recent activity
LP-smart-rules-whitelist-remediation-1.0.0,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,060ec6f57f639cd59f84e7161fd385ad2ca66f95,not_protected,,Review for deletion - stale branch with no recent activity
aoss-staging-integration,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,e9b0fe25e9ace820afdf51380d300f0871207dbc,not_protected,,Review for deletion - stale branch with no recent activity
archive/aoss-staging-integration-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,e9b0fe25e9ace820afdf51380d300f0871207dbc,not_protected,,Review for deletion - stale branch with no recent activity
archive/chore/add-secret-scan,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,54080d217a9625ad150b1bb383934bfa3ccf468f,not_protected,,Review for deletion - stale branch with no recent activity
archive/chore/ci-seed-emulator-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,2cae3cfbb91fcec3ef385a077a0a8e9f549bedec,not_protected,,Review for deletion - stale branch with no recent activity
archive/chore/fix-deploy-public-path-v1-0-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,75d7c63823ef423ec78dfc8fc6752a6e62b433c0,not_protected,,Review for deletion - stale branch with no recent activity
archive/chore/staging-verify-workflow-2025-12-10-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,76c1f46869321493a2fd7122c249edd8ef00183f,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/aoss-frontend-nav-v1-0-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,cd5875c7235e43ed41433b0db799ade3fa4e7d97,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/aoss-monorepo-scaffold-v0-1-0-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,0b3a83d56d1fefd3a8e343c8327abd424756cd0a,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/aoss-pr-monitor-v1-0-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,d02db0c775a75ff4c35329dfac49ff147f6782d1,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/aoss-product-editor-layout-v1-1-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,dca28d63c0e798b6d06378442a9b6875ca0cf7f3,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/aoss-repo-audit-v1-1-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,e33eb00d2e4fc6363fb1e857485eb38dd0d6597d,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/aoss-staging-hosting-v0-2-1-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,7468494cba5f8816a140fea15254d89b18b13f47,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/ci-sa-test-trigger-v0-4-1-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,0e3ad8d2e0ebcc51d0dd12bdef984a016cb38110,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/cli-api/retailops-pipeline-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,5b3f42442a289eb1f0d7e615f9f6ad2760dce0ae,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/importer-dynamic-v2.2,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,b09465bd113cb7175032904565ad9d2ac41449a6,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/products-list-aoss-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,6283414e343cc934731a5fc01e642847beb90483,not_protected,,Review for deletion - stale branch with no recent activity
archive/feature/users-admin-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,94b70f4e0a3b036191eeb91954b60ebec6291e80,not_protected,,Review for deletion - stale branch with no recent activity
archive/fix/attribute-testids-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,cfac2f1e42c114667cfcdc5940fa5569ba4a5d99,not_protected,,Review for deletion - stale branch with no recent activity
archive/fix/pr261-attr-data-20251216-20251229T132234Z,true,STALE_CANDIDATE,No activity for 9999 days (threshold: 180),9999,,,36fa2660d86c0501f4bafa022e1fba0caee464b6,not_protected,,Review for deletion - stale branch with no recent activity
