attribute_id,usageCount,sampleProductIds,inRegistry,inCodebase,inImportExport,inSmartRules
_meta,4,"123;14943667;FD ZAHARA-S-WHT",false,false,false,false
_migratedAt,83,"14943667;14943678;207012-001",false,false,false,false
_migratedVersion,83,"14943667;14943678;207012-001",false,false,false,false
_normalizedAt,17,"123;14943667;14943678",false,false,false,false
age_group,16,"14943667;211116-001;7J236",true,false,true,false
brand,69,"123;14943667;14943678",true,false,true,true
category,19,"123;14943667;211116-001",true,false,true,true
class,13,"14943667;211116-001;7J236",true,false,true,true
closure_type,1,"123",true,false,false,false
collection_name,0,"",true,false,false,false
cushioning,1,"123",false,false,false,false
custom_message,0,"",true,false,false,false
cut_type,0,"",true,false,false,false
department,14,"123;14943667;211116-001",true,false,true,true
description_karmaloop,0,"",true,false,true,false
description_mltd,0,"",true,false,true,false
description_sangremia,0,"",true,false,false,false
description_shiekh,0,"",true,false,true,false
descriptive_color,0,"",true,false,true,false
descriptive.gender,16,"14943667;211116-001;7J236",false,false,false,false
descriptive.heelHeight,1,"test-product-003",false,false,false,false
descriptive.heelType,1,"test-product-003",false,false,false,false
descriptive.material,6,"sku-1001;sku-1002;sku-1003",false,false,false,false
expedited_override_shipping,0,"",true,false,false,false
family_sizing,0,"",true,false,false,false
fast_fashion,0,"",true,false,false,false
first_received,0,"",true,false,false,false
fit,10,"123;14943667;AMBRA-23",true,false,false,false
gender,0,"",true,false,true,true
gtin,0,"",true,false,true,false
heel_height,1,"123",true,false,false,false
heel_type,0,"",true,false,false,false
height,0,"",true,false,true,false
hide_image_date,0,"",true,false,false,false
hype,0,"",true,false,false,false
keywords,0,"",true,false,true,false
kl_post_date,0,"",true,false,false,false
last_received,0,"",true,false,false,false
launch_date,0,"",true,false,false,false
league,0,"",true,false,false,false
length,0,"",true,false,true,false
made_in,0,"",true,false,false,false
map,0,"",true,false,true,false
material,1,"123",true,false,true,true
materials,8,"14943667;AMBRA-23;FD ZAHARA-S-BLK",false,false,false,false
media_status,0,"",true,false,false,false
meta_description,0,"",true,false,true,false
meta_name,0,"",true,false,true,false
mpn,80,"14943667;14943678;207012-001",true,false,true,false
name,69,"123;14943667;14943678",true,false,true,false
outsole_material,0,"",true,false,false,false
pattern,1,"123",true,false,false,false
platform_height,0,"",true,false,false,false
primary_color,64,"123;14943667;14943678",true,false,true,true
product_is_active,0,"",true,false,true,true
promo,0,"",true,false,false,false
rics_long_desc,0,"",true,false,false,false
rics_short_description,0,"",true,false,false,false
scom_regular_price,0,"",true,false,true,false
scom_sale_price,0,"",true,false,true,false
secondaryColor,1,"test-product-001",false,false,false,false
shoe_height_map,0,"",true,false,false,false
shoe_width,0,"",true,false,false,false
silhouette,1,"123",false,false,false,false
sku,7,"123;sku-1001;sku-1002",true,false,true,false
sku_core,1,"test-product-002",false,false,false,false
slug,0,"",true,false,false,false
sports_team,0,"",true,false,false,false
standard_shipping_override,0,"",true,false,false,false
status,87,"123;14943667;14943678",true,false,true,true
store_inv,0,"",true,false,false,false
style,63,"14943667;14943678;207012-001",false,false,false,false
style_id,0,"",true,false,true,false
sustainable,2,"test-product-001;test-product-003",true,false,false,false
tax_class,0,"",true,false,false,false
total_inv,0,"",true,false,false,false
warehouse_inv,0,"",true,false,false,false
waterproof,2,"test-product-001;test-product-002",true,false,false,false
website,0,"",true,false,false,false
weight,0,"",true,false,true,false
width,0,"",true,false,true,false
