sku,product_doc_id,unknown_key,unknown_value,all_attributes_json
NK-AIR-MAX-270-BLK-10,123,pattern,Solid,"{""closure_type"": ""Lace-Up"", ""primary_color"": [""Black"", ""White""], ""pattern"": ""Solid"", ""material"": [""Mesh"", ""Synthetic""], ""heel_height"": ""1.5 inches"", ""silhouette"": ""Low Top"", ""fit"": ""True to Size""}"
NK-AIR-MAX-270-BLK-10,123,silhouette,Low Top,"{""closure_type"": ""Lace-Up"", ""primary_color"": [""Black"", ""White""], ""pattern"": ""Solid"", ""material"": [""Mesh"", ""Synthetic""], ""heel_height"": ""1.5 inches"", ""silhouette"": ""Low Top"", ""fit"": ""True to Size""}"
14943667,14943667,descriptive.gender,Mens,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.203000+00:00"", ""primary_color"": ""Black"", ""_normalizedAt"": ""2025-12-10T05:38:34.015000+00:00"", ""age_group"": ""Adult"", ""brand"": ""NEW ERA CAPS"", ""class"": ""Hats"", ""mpn"": ""14943667"", ""style"": {""id"": ""14943667""}, ""fit"": ""True to Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Casual"", ""department"": ""Accessories""}"
14943667,14943667,style,{'id': '14943667'},"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.203000+00:00"", ""primary_color"": ""Black"", ""_normalizedAt"": ""2025-12-10T05:38:34.015000+00:00"", ""age_group"": ""Adult"", ""brand"": ""NEW ERA CAPS"", ""class"": ""Hats"", ""mpn"": ""14943667"", ""style"": {""id"": ""14943667""}, ""fit"": ""True to Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Casual"", ""department"": ""Accessories""}"
14943667,14943667,materials,,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.203000+00:00"", ""primary_color"": ""Black"", ""_normalizedAt"": ""2025-12-10T05:38:34.015000+00:00"", ""age_group"": ""Adult"", ""brand"": ""NEW ERA CAPS"", ""class"": ""Hats"", ""mpn"": ""14943667"", ""style"": {""id"": ""14943667""}, ""fit"": ""True to Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Casual"", ""department"": ""Accessories""}"
14943678,14943678,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""14943678"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""Black"", ""_normalizedAt"": ""2025-12-10T05:38:34.301000+00:00"", ""brand"": ""NEW ERA CAPS""}"
207012-001,207012-001,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""207012-001"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.229000+00:00"", ""primary_color"": ""BLACK"", ""brand"": ""Crocs""}"
209473-1001,209473-1001,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""209473-1001"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.232000+00:00"", ""primary_color"": ""BLACK"", ""brand"": ""TRUE RELIGION""}"
209516-1001,209516-1001,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""209516-1001"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.211000+00:00"", ""primary_color"": ""BLACK"", ""brand"": ""TRUE RELIGION""}"
209516-6916,209516-6916,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""209516-6916"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.217000+00:00"", ""primary_color"": ""Red"", ""brand"": ""TRUE RELIGION""}"
209710-6916,209710-6916,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""209710-6916"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.206000+00:00"", ""primary_color"": ""Red"", ""brand"": ""TRUE RELIGION""}"
211116-001,211116-001,style,{'id': 'Classic Unfurgettable Clog'},"{""_migratedAt"": ""2025-12-09T04:29:58.206000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Crocs"", ""class"": ""Sandals"", ""mpn"": ""211116-001"", ""style"": {""id"": ""Classic Unfurgettable Clog""}, ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""BLACK"", ""category"": ""Clogs"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
211116-001,211116-001,descriptive.gender,Men's,"{""_migratedAt"": ""2025-12-09T04:29:58.206000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Crocs"", ""class"": ""Sandals"", ""mpn"": ""211116-001"", ""style"": {""id"": ""Classic Unfurgettable Clog""}, ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""BLACK"", ""category"": ""Clogs"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
212350-90H,212350-90H,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""212350-90H"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:57.996000+00:00"", ""primary_color"": ""Multi"", ""brand"": ""Crocs""}"
4254T1035,4254T1035,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""4254T1035"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.034000+00:00"", ""primary_color"": ""Blue"", ""brand"": ""PSD UNDERWEAR""}"
4254T1036,4254T1036,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""4254T1036"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.021000+00:00"", ""primary_color"": ""RED LEOPARD"", ""brand"": ""PSD UNDERWEAR""}"
482-BLK,482-BLK,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""482-BLK"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.038000+00:00"", ""primary_color"": ""BLACK | BLK"", ""brand"": ""Hudson""}"
7J236,7J236,style,,"{""_migratedAt"": ""2025-12-09T04:29:58.047000+00:00"", ""age_group"": ""Toddler"", ""brand"": ""CONVERSE"", ""class"": ""Sneakers"", ""mpn"": ""7J236"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""Red"", ""category"": ""Lifestyle"", ""descriptive.gender"": ""Kids"", ""department"": ""Footwear""}"
7J236,7J236,descriptive.gender,Kids,"{""_migratedAt"": ""2025-12-09T04:29:58.047000+00:00"", ""age_group"": ""Toddler"", ""brand"": ""CONVERSE"", ""class"": ""Sneakers"", ""mpn"": ""7J236"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""Red"", ""category"": ""Lifestyle"", ""descriptive.gender"": ""Kids"", ""department"": ""Footwear""}"
A13264F,A13264F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A13264F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.027000+00:00"", ""primary_color"": ""ROTTEN APPLE/WHITE/BLACK"", ""brand"": ""CONVERSE""}"
A14338F,A14338F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14338F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.038000+00:00"", ""primary_color"": ""DAYS AHEAD/WHITE/DAYSAHEAD"", ""brand"": ""CONVERSE""}"
A14345F,A14345F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14345F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.033000+00:00"", ""primary_color"": ""BLUEIT/BLACK/WHITE"", ""brand"": ""CONVERSE""}"
A14346F,A14346F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14346F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.045000+00:00"", ""primary_color"": ""DAYS AHEAD/WHITE/DAYSAHEAD"", ""brand"": ""CONVERSE""}"
A14349F,A14349F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14349F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.066000+00:00"", ""primary_color"": ""PINKFROSTING/WHITE/BLACK"", ""brand"": ""CONVERSE""}"
A14409F,A14409F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14409F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.040000+00:00"", ""primary_color"": ""DARKLY JADED/WHITE/NATURAL IVORY"", ""brand"": ""CONVERSE""}"
A14410F,A14410F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14410F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.071000+00:00"", ""primary_color"": ""DARKLY JADED/WHITE/NATURAL IVORY"", ""brand"": ""CONVERSE""}"
A14606F,A14606F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14606F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.074000+00:00"", ""primary_color"": ""DARKLY JADED/WHITE/BLACK"", ""brand"": ""CONVERSE""}"
A14607F,A14607F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14607F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.047000+00:00"", ""primary_color"": ""CRISPY COBALT/WHITE/BLACK"", ""brand"": ""CONVERSE""}"
A14609F,A14609F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A14609F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.068000+00:00"", ""primary_color"": ""DARKLY JADED/WHITE/BLACK"", ""brand"": ""CONVERSE""}"
A15143F,A15143F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A15143F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.070000+00:00"", ""primary_color"": ""DAYS AHEAD/WHITE/DAYSAHEAD"", ""brand"": ""CONVERSE""}"
A15144F,A15144F,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""A15144F"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.077000+00:00"", ""primary_color"": ""BLACK/WHITE/BLACK"", ""brand"": ""CONVERSE""}"
AMBRA-23,AMBRA-23,descriptive.gender,Women's,"{""descriptive.gender"": ""Women's"", ""_migratedAt"": ""2025-12-09T04:29:58.202000+00:00"", ""primary_color"": ""BLACK"", ""age_group"": ""Adult"", ""brand"": ""J P ORIGINAL"", ""class"": ""Sandals"", ""mpn"": ""AMBRA-23"", ""style"": {}, ""fit"": ""True To Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Synthetic""], ""category"": ""Flat"", ""department"": ""Footwear""}"
AMBRA-23,AMBRA-23,style,,"{""descriptive.gender"": ""Women's"", ""_migratedAt"": ""2025-12-09T04:29:58.202000+00:00"", ""primary_color"": ""BLACK"", ""age_group"": ""Adult"", ""brand"": ""J P ORIGINAL"", ""class"": ""Sandals"", ""mpn"": ""AMBRA-23"", ""style"": {}, ""fit"": ""True To Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Synthetic""], ""category"": ""Flat"", ""department"": ""Footwear""}"
AMBRA-23,AMBRA-23,materials,['Synthetic'],"{""descriptive.gender"": ""Women's"", ""_migratedAt"": ""2025-12-09T04:29:58.202000+00:00"", ""primary_color"": ""BLACK"", ""age_group"": ""Adult"", ""brand"": ""J P ORIGINAL"", ""class"": ""Sandals"", ""mpn"": ""AMBRA-23"", ""style"": {}, ""fit"": ""True To Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Synthetic""], ""category"": ""Flat"", ""department"": ""Footwear""}"
Classic Unfurgettable Clog,Classic Unfurgettable Clog,style,,"{""_migratedAt"": ""2025-12-09T04:29:58.208000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Crocs"", ""class"": ""Sandals"", ""mpn"": ""Classic Unfurgettable Clog"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""BLACK"", ""category"": ""Clogs"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
Classic Unfurgettable Clog,Classic Unfurgettable Clog,descriptive.gender,Men's,"{""_migratedAt"": ""2025-12-09T04:29:58.208000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Crocs"", ""class"": ""Sandals"", ""mpn"": ""Classic Unfurgettable Clog"", ""style"": {}, ""_migratedVersion"": ""1.0.0"", ""primary_color"": ""BLACK"", ""category"": ""Clogs"", ""descriptive.gender"": ""Men's"", ""department"": ""Footwear""}"
DARING-03-BKPU,DARING-03-BKPU,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""DARING-03-BKPU"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.207000+00:00"", ""primary_color"": ""BLACK PU"", ""brand"": ""LEGEND FOOTWEAR INC""}"
EP25115,EP25115,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""EP25115"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.207000+00:00"", ""primary_color"": ""BLACK"", ""brand"": ""Smoke Rise""}"
FD ZAHARA-S-BLK,FD ZAHARA-S-BLK,descriptive.gender,Mens,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""age_group"": ""Adult"", ""brand"": ""brandie"", ""class"": ""Running"", ""mpn"": ""FD ZAHARA-S-BLK"", ""style"": {""id"": ""FD ZAHARA-S-BLK""}, ""fit"": ""G"", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Shoes"", ""department"": ""Footwear""}"
