,"72","ageGroup | brand | category | class | closureType | color | coreProduct | custom2 | custom3 | cutType | department | description | descriptionBlocks | descriptionHtml | descriptiveColor | dropshipName | expeditedOverrideShipping | familySizing | fastFashion | firstReceived | fit | heelHeight | heelType | height | hideImageDate | hype | keywords | klPostDate | lastReceived | launchDate | league | length | longDescription | madeIn | map | mediaStatus | metaDescription | metaName | name | newCollection | outsoleMaterial | platformHeight | primaryColor | productIsActive | productIsDropship | promo | rics | ropiScore | scomRegularPrice | scomSalePrice | seoName | shoeHeightMap | shortDescription | sku | slug | smartDetectSummary | sportsTeam | standardShippingOverride | status | store1 | store4 | storeInv | styleId | taxClass | templateKey | templateOverrideKey | totalInv | validationFlags | variantCount | warehouseInv | website | whsInv","ageGroup","brand | category | class | closureType | color | coreProduct | custom2 | custom3 | cutType | department | description | descriptionBlocks | descriptionHtml | descriptiveColor | dropshipName | expeditedOverrideShipping | familySizing | fastFashion | firstReceived | fit | heelHeight | heelType | height | hideImageDate | hype | keywords | klPostDate | lastReceived | launchDate | league | length | longDescription | madeIn | map | mediaStatus | metaDescription | metaName | name | newCollection | outsoleMaterial | platformHeight | primaryColor | productIsActive | productIsDropship | promo | rics | ropiScore | scomRegularPrice | scomSalePrice | seoName | shoeHeightMap | shortDescription | sku | slug | smartDetectSummary | sportsTeam | standardShippingOverride | status | store1 | store4 | storeInv | styleId | taxClass | templateKey | templateOverrideKey | totalInv | validationFlags | variantCount | warehouseInv | website | whsInv","string","no"
"age group","2","age_group | descriptive.ageGroup","age_group","descriptive.ageGroup","enum, string","yes"
"closure type","2","closure_type | descriptive.closureType","closure_type","descriptive.closureType","enum, string","yes"
"gender","2","descriptive.gender | gender","descriptive.gender","gender","string, enum","yes"
"heel height","2","descriptive.heelHeight | heel_height","descriptive.heelHeight","heel_height","string, enum","yes"
"heel type","2","descriptive.heelType | heel_type","descriptive.heelType","heel_type","string, enum","yes"
"material","2","descriptive.material | material","descriptive.material","material","string, enum","yes"
"primary color","2","descriptive.primaryColor | primary_color","descriptive.primaryColor","primary_color","string, enum","yes"
"launch date","2","launch_date | launch.launchDate","launch_date","launch.launchDate","date, string","no"
"mpn","2","mpn | sku_core.mpn","mpn","sku_core.mpn","string","no"
"brand","2","rics_source.brand | sku_core.brand","rics_source.brand","sku_core.brand","string","no"
"category","2","rics_source.category | sku_core.category","rics_source.category","sku_core.category","string","no"
"width","2","technical.width | width","technical.width","width","string, enum","yes"
