MPN,SKU, MigratedAt, MigratedAt_meta, MigratedVersion, MigratedVersion_meta, NormalizedAt, NormalizedAt_meta,Age Group,Age Group_meta,Care Instructions,Care Instructions_meta,Category,Category_meta,Class,Class_meta,Closure Type,Closure Type_meta,Collection Name,Collection Name_meta,Core Product,Core Product_meta,coreProduct,coreProduct_meta,Cushioning,Cushioning_meta,Custom Message (Internal),Custom Message (Internal)_meta,custom2,custom2_meta,custom3,custom3_meta,Custom3,Custom3_meta,Cut Type,Cut Type_meta,Department,Department_meta,Description – Karmaloop,Description – Karmaloop_meta,Description – MLTD,Description – MLTD_meta,Description – Sangremia,Description – Sangremia_meta,Description – Shiekh.com,Description – Shiekh.com_meta,Description Blocks,Description Blocks_meta,Description Html,Description Html_meta,Descriptive Color,Descriptive Color_meta,Descriptive.HeelHeight,Descriptive.HeelHeight_meta,Descriptive.HeelType,Descriptive.HeelType_meta,Dropship Name,Dropship Name_meta,dropshipName,dropshipName_meta,End of Life Date,End of Life Date_meta,Expedited Override Shipping,Expedited Override Shipping_meta,Family Sizing,Family Sizing_meta,Fast Fashion,Fast Fashion_meta,Features,Features_meta,First Received,First Received_meta,Fit,Fit_meta,Gender,Gender_meta,GTIN/UPC,GTIN/UPC_meta,Heel Height,Heel Height_meta,Heel Type,Heel Type_meta,Height,Height_meta,Height,Height_meta,Hide Image Date,Hide Image Date_meta,hide-image-date,hide-image-date_meta,hideImageDate,hideImageDate_meta,HYPE,HYPE_meta,Keywords,Keywords_meta,KL Post Date,KL Post Date_meta,Last Received,Last Received_meta,Launch Date,Launch Date_meta,League,League_meta,Length,Length_meta,longDescription,longDescription_meta,Made In,Made In_meta,MAP,MAP_meta,Material(s),Material(s)_meta,Materials,Materials_meta,Media Status,Media Status_meta,Media Status,Media Status_meta,Meta Description,Meta Description_meta,Meta Name,Meta Name_meta,meta-description,meta-description_meta,metadescription,metadescription_meta,metaname,metaname_meta,newCollection,newCollection_meta,Occasion,Occasion_meta,Outsole Material,Outsole Material_meta,Pattern,Pattern_meta,Platform Height,Platform Height_meta,Primary Color,Primary Color_meta,Product Is Active,Product Is Active_meta,Product Name,Product Name_meta,productIsActive,productIsActive_meta,productIsDropship,productIsDropship_meta,Promo,Promo_meta,rics,rics_meta,Rics,Rics_meta,RICS Long Description,RICS Long Description_meta,RICS Short Description,RICS Short Description_meta,ricslongdesc,ricslongdesc_meta,Ropi Score,Ropi Score_meta,ropiScore,ropiScore_meta,SCOM Regular Price,SCOM Regular Price_meta,SCOM Sale Price,SCOM Sale Price_meta,Season,Season_meta,Seo Name,Seo Name_meta,seoName,seoName_meta,Shoe Height Map,Shoe Height Map_meta,Shoe Width,Shoe Width_meta,shoe-height-map,shoe-height-map_meta,shoe-width,shoe-width_meta,shoe.height.map,shoe.height.map_meta,shoe.width,shoe.width_meta,shoeHeightMap,shoeHeightMap_meta,shoeWidth,shoeWidth_meta,Silhouette,Silhouette_meta,Sku Core,Sku Core_meta,Smart Detect Summary,Smart Detect Summary_meta,smartDetectSummary,smartDetectSummary_meta,Sports Team,Sports Team_meta,Standard Shipping Override,Standard Shipping Override_meta,Standard Shipping Override,Standard Shipping Override_meta,Status,Status_meta,Store Inv,Store Inv_meta,store1,store1_meta,store4,store4_meta,storeinv,storeinv_meta,storeInv,storeInv_meta,Style,Style_meta,Style ID,Style ID_meta,Sustainable,Sustainable_meta,target_gender,target_gender_meta,Tax Class,Tax Class_meta,Template Key,Template Key_meta,Template Override Key,Template Override Key_meta,templateKey,templateKey_meta,templateOverrideKey,templateOverrideKey_meta,Toe Style,Toe Style_meta,Total Inv,Total Inv_meta,URL Slug,URL Slug_meta,Validation Flags,Validation Flags_meta,validationFlags,validationFlags_meta,Waterproof,Waterproof_meta,Websites (Multi-select),Websites (Multi-select)_meta,Weight (oz),Weight (oz)_meta,WHS Inv,WHS Inv_meta,whsInv,whsInv_meta,Width,Width_meta
14943667,,[object Object],,1.0.0,,[object Object],,Adult,,,,Casual,,Hats,,,,,,,,,,,,,,,,,,,,,,Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True To Size,,Men's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14943678,,[object Object],,1.0.0,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207012-001,,[object Object],,1.0.0,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209473-1001,,[object Object],,1.0.0,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209516-1001,,[object Object],,1.0.0,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209516-6916,,[object Object],,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209710-6916,,[object Object],,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211116-001,,[object Object],,1.0.0,,[object Object],,Adult,,,,Clogs,,Sandals,,,,,,,,,,,,,,,,,,,,,,Footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212350-90H,,[object Object],,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4254T1035,,[object Object],,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
