"gender","34","14943667 | 211116-001 | 7J236 | AMBRA-23 | Classic Unfurgettable Clog | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG240320BLK | HTG250221BLU"
"ageGroup","34","14943667 | 211116-001 | 7J236 | AMBRA-23 | Classic Unfurgettable Clog | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG240320BLK | HTG250221BLU"
"primaryColor","63","14943667 | 14943678 | 207012-001 | 209473-1001 | 209516-1001 | 209516-6916 | 209710-6916 | 211116-001 | 212350-90H | 4254T1035"
"materials","8","14943667 | AMBRA-23 | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG250221BLU | JPM AMBRA-23_BLKKPU | TEST-001"
"style","66","14943667 | 14943678 | 207012-001 | 209473-1001 | 209516-1001 | 209516-6916 | 209710-6916 | 211116-001 | 212350-90H | 4254T1035"
"mpn","82","14943667 | 14943678 | 207012-001 | 209473-1001 | 209516-1001 | 209516-6916 | 209710-6916 | 211116-001 | 212350-90H | 4254T1035"
"category","37","14943667 | 211116-001 | 7J236 | AMBRA-23 | Classic Unfurgettable Clog | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG240320BLK | HTG250221BLU"
"brand","85","14943667 | 14943678 | 207012-001 | 209473-1001 | 209516-1001 | 209516-6916 | 209710-6916 | 211116-001 | 212350-90H | 4254T1035"
"department","31","14943667 | 211116-001 | 7J236 | AMBRA-23 | Classic Unfurgettable Clog | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG240320BLK | HTG250221BLU"
"class","31","14943667 | 211116-001 | 7J236 | AMBRA-23 | Classic Unfurgettable Clog | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG240320BLK | HTG250221BLU"
"fit","29","14943667 | AMBRA-23 | FD ZAHARA-S-BLK | FD ZAHARA-S-CHO | FD ZAHARA-S-WHT | HTG240320BLK | HTG250221BLU | JK11198-UNCCLBL | JPM AMBRA-23_BLKKPU | LLD1316162-EGG"
"_migratedVersion","85","14943667 | 14943678 | 207012-001 | 209473-1001 | 209516-1001 | 209516-6916 | 209710-6916 | 211116-001 | 212350-90H | 4254T1035"
"_migratedAt","85","14943667 | 14943678 | 207012-001 | 209473-1001 | 209516-1001 | 209516-6916 | 209710-6916 | 211116-001 | 212350-90H | 4254T1035"
"color","3","sku-1001 | sku-1002 | sku-1003"
"material","6","sku-1001 | sku-1002 | sku-1003 | test-product-001 | test-product-002 | test-product-003"
"sustainable","2","test-product-001 | test-product-003"
"waterproof","3","test-product-001 | test-product-002 | test-product-003"
"secondaryColor","1","test-product-001"
"heel_type","1","test-product-003"
"heel_height","1","test-product-003"
