Canonical Path,Label,Category,Data Type,Required,Export,Legacy Paths,Importer Columns,Rules,Normalization Note
a_i_generated.descriptionBlocks,Description Blocks,AI,object,false,true,"","","",""
a_i_generated.descriptionHtml,Description Html,AI,string,false,true,"","","",""
a_i_generated.ropiScore,Ropi Score,AI,number,false,true,"","","",""
a_i_generated.seoName,Seo Name,AI,string,false,true,"","","",""
a_i_generated.smartDetectSummary,Smart Detect Summary,AI,object,false,true,"","","",""
a_i_generated.templateKey,Template Key,AI,string,false,true,"","","",""
a_i_generated.templateOverrideKey,Template Override Key,AI,string,false,true,"","","",""
a_i_generated.validationFlags,Validation Flags,AI,array,false,true,"","","",""
descriptive.ageGroup,Age Group,Descriptive,string,true,true,"","age_group","SD-004",""
descriptive.closureType,Closure Type,Descriptive,string,false,true,"","closure_type","SD-009",""
descriptive.cutType,Cut Type,Descriptive,string,false,true,"","cut_type","SD-008",""
descriptive.description,Description,Descriptive,string,false,true,"","","",""
descriptive.descriptiveColor,Descriptive Color,Descriptive,string,false,true,"","descriptive_color","",""
descriptive.familySizing,Family Sizing,Descriptive,boolean,false,true,"","","",""
descriptive.fit,Fit,Descriptive,string,true,true,"","fit","",""
descriptive.gender,Gender,Descriptive,string,true,true,"","gender","SD-005",""
descriptive.heelHeight,Heel Height,Descriptive,number,false,true,"","","",""
descriptive.heelType,Heel Type,Descriptive,string,false,true,"","","SD-010",""
descriptive.keywords,Keywords,Descriptive,array,false,true,"","keywords","",""
descriptive.league,League,Descriptive,string,false,true,"","league","",""
descriptive.madeIn,Made In,Descriptive,array,false,true,"","","",""
descriptive.material,Material,Descriptive,array,false,true,"materials","material, materials","SD-007","Materials stored as deduped arrays in canonical schema"
descriptive.metaDescription,Meta Description,Descriptive,string,true,true,"","","",""
descriptive.metaName,Meta Name,Descriptive,string,true,true,"","","",""
descriptive.outsoleMaterial,Outsole Material,Descriptive,string,false,true,"","","",""
descriptive.platformHeight,Platform Height,Descriptive,string,false,true,"","","",""
descriptive.primaryColor,Primary Color,Descriptive,string,false,true,"primaryColor","rics_color, primary_color","SD-006",""
descriptive.shoeHeightMap,Shoe Height Map,Descriptive,string,false,true,"","","",""
descriptive.slug,Slug,Descriptive,string,false,true,"","","",""
descriptive.sportsTeam,Sports Team,Descriptive,string,false,true,"","sports_team","",""
launch.fastFashion,Fast Fashion,Launch,boolean,false,true,"","fastfashion, fast_fashion","",""
launch.hype,Hype,Launch,boolean,false,true,"","hype","",""
launch.klPostDate,Kl Post Date,Launch,string,false,true,"","kl_post_date, KL Post Date, KL_POST_DATE, klPostDate","",""
launch.launchDate,Launch Date,Launch,string,false,true,"","launch_date","",""
launch.newCollection,New Collection,Launch,string,false,true,"","collection, new_collection","","Canonicalized from legacy "collection" field"
pricing.map,Map,Pricing,number,false,true,"","map","",""
pricing.promo,Promo,Pricing,boolean,false,true,"","promo","",""
pricing.scomRegularPrice,Scom Regular Price,Pricing,number,false,true,"","scom_regular","",""
pricing.scomSalePrice,Scom Sale Price,Pricing,number,false,true,"","scom_sale","",""
rics_source.brand,Brand,Source,string,false,true,"","","",""
rics_source.category,Category,Source,string,false,true,"","","",""
rics_source.color,Color,Source,string,false,true,"","RICS Color, rics_color, RICS_COLOR, RICS Source.Color, Color","",""
rics_source.longDescription,Long Description,Source,string,false,true,"","","",""
rics_source.shortDescription,Short Description,Source,string,false,true,"","RICS Source.Short Description, rics_long_desc, RICS Long Description","",""
sku_core.brand,Brand,Core,string,true,true,"","brand","",""
sku_core.category,Category,Core,string,true,true,"","category","SD-003, SD-004",""
sku_core.class,Class,Core,string,true,true,"","class","SD-002",""
sku_core.coreProduct,Core Product,Core,boolean,false,true,"","","",""
sku_core.department,Department,Core,string,true,true,"","department","SD-001",""
sku_core.mpn,Mpn,Core,string,true,true,"","mpn","",""
sku_core.name,Name,Core,string,true,true,"","rics_short_desc, name","SD-005, SD-008, SD-009, SD-010",""
sku_core.productIsActive,Product Is Active,Core,boolean,true,true,"","","",""
sku_core.sku,Sku,Core,string,true,true,"","","",""
sku_core.styleId,Style Id,Core,string,true,true,"","","",""
source.rics,Rics,Source,string,false,true,"","","",""
technical.custom2,Custom2,Technical,string,false,true,"custom2","custom2","",""
technical.custom3,Custom3,Technical,string,false,true,"custom3","custom3","",""
technical.expeditedOverrideShipping,Expedited Override Shipping,Technical,number,false,true,"","","",""
technical.firstReceived,First Received,Technical,string,false,true,"firstReceived","first_received","",""
technical.height,Height,Technical,number,false,true,"","height","",""
technical.hideImageDate,Hide Image Date,Technical,string,false,true,"","","",""
technical.lastReceived,Last Received,Technical,string,false,true,"lastReceived","last_received","",""
technical.length,Length,Technical,number,false,true,"","length","",""
technical.mediaStatus,Media Status,Technical,string,false,true,"","","",""
technical.standardShippingOverride,Standard Shipping Override,Technical,number,false,true,"","","",""
technical.status,Status,Technical,string,false,true,"","","",""
technical.store1,Store1,Technical,number,false,true,"store1","store1","",""
technical.store4,Store4,Technical,number,false,true,"store4","store4","",""
technical.storeInv,Store Inv,Technical,number,false,true,"storeInv","store_inv","",""
technical.taxClass,Tax Class,Technical,boolean,false,true,"","","",""
technical.totalInv,Total Inv,Technical,number,false,true,"totalInv","total_inv","",""
technical.variantCount,Variant Count,Technical,number,false,false,"variantCount","","",""
technical.warehouseInv,Warehouse Inv,Technical,number,false,true,"warehouseInv","warehouse_inv","",""
technical.website,Website,Technical,array,false,true,"","website","",""
technical.weight,Weight,Technical,number,false,true,"","weight","",""
technical.whsInv,Whs Inv,Technical,number,false,true,"whsInv","whs_inv","",""
technical.width,Width,Technical,number,false,true,"","width","",""
